,City,Clouds,Country,Humidity,Latitude,Temperature,Wind Speed
0,Kovdor,76,RU,77,67.56,52.71,6.06
1,Hobart,75,AU,57,-42.88,51.8,12.75
2,Norman Wells,90,CA,93,65.28,48.2,18.34
3,Muriwai Beach,56,NZ,72,-36.82,60.8,14.99
4,Turayf,0,SA,69,31.68,75.2,8.05
5,Port Alfred,88,ZA,100,-33.59,54.69,7.96
7,Cape Town,0,ZA,81,-33.93,46.4,6.93
8,Mataura,92,NZ,86,-46.19,47.13,6.51
9,Sitka,12,US,84,37.17,76.51,8.86
10,Hilo,90,US,83,19.71,78.21,4.7
11,Kutum,0,SD,89,14.2,65.67,6.29
12,Punta Arenas,75,CL,89,-53.16,41.0,19.46
13,Eyl,0,SO,76,7.98,79.62,25.75
14,Butaritari,24,KI,100,3.07,83.89,7.4
15,Hermanus,8,ZA,100,-34.42,33.04,3.6
16,Esperance,0,TT,78,10.24,80.6,3.36
17,Mopti,0,ML,88,14.49,78.8,10.76
18,Ushuaia,75,AR,60,-54.81,41.0,17.22
19,Qaanaaq,76,GL,100,77.48,34.98,4.38
21,Talnakh,12,RU,75,69.49,52.75,13.67
22,Vaini,92,IN,99,15.34,68.41,7.18
23,Souillac,92,FR,82,45.6,64.4,6.93
25,Boende,48,CD,92,-0.28,74.67,3.6
26,Leningradskiy,88,RU,100,69.38,33.27,12.55
27,Bluff,0,AU,33,-23.58,62.79,4.94
30,Yumen,8,CN,37,40.29,65.8,7.18
31,Geraldton,75,CA,93,49.72,62.6,4.7
32,Kaitangata,68,NZ,91,-46.28,46.81,5.5
33,Djambala,68,CG,90,-2.55,70.89,4.5
34,Clyde River,90,CA,93,70.47,39.2,6.93
35,Severo-Kurilsk,80,RU,97,50.68,52.93,4.83
37,Arraial do Cabo,75,BR,88,-22.97,69.8,12.75
38,Adrar,8,DZ,18,27.87,93.2,9.17
39,Jamestown,0,AU,71,-33.21,52.21,10.42
40,Cizre,0,TR,64,37.33,69.58,1.59
41,Chuy,88,UY,95,-33.69,53.56,11.54
42,Sarangani,0,PH,98,5.4,83.71,8.41
43,Pisco,90,PE,82,-13.71,62.6,3.36
44,Katsina,76,NG,84,12.99,74.49,6.4
45,Busselton,64,AU,100,-33.64,54.28,29.55
46,Lompoc,1,US,27,34.64,76.95,11.41
47,Barrow,0,AR,91,-38.31,41.91,16.02
48,Muswellbrook,0,AU,79,-32.27,54.24,3.71
49,Port Hardy,20,CA,77,50.7,62.6,6.93
50,Serebryansk,5,KZ,87,49.68,57.2,1.7
51,Salalah,90,OM,94,17.01,78.8,1.12
52,Rikitea,12,PF,100,-23.12,74.49,10.09
54,Airai,0,TL,66,-8.93,72.96,2.26
55,Chokurdakh,0,RU,80,70.62,45.91,10.76
56,Ponta do Sol,36,BR,94,-20.63,61.08,5.5
57,East London,80,ZA,100,-33.02,57.84,9.64
58,Hithadhoo,12,MV,100,-0.6,82.36,4.38
59,Puerto Ayora,75,EC,73,-0.74,73.4,13.87
60,Uryupinsk,0,RU,70,50.8,59.91,8.52
62,Upernavik,100,GL,96,72.79,39.7,12.44
63,New Norfolk,75,AU,57,-42.78,51.8,12.75
64,Lata,68,IN,100,30.78,58.56,1.59
65,Griffin,1,US,78,33.25,79.56,4.05
66,Gat,75,SN,78,14.69,82.4,6.93
67,Castro,88,CL,79,-42.48,44.74,4.38
68,Atuona,32,PF,99,-9.8,79.84,18.25
69,Mount Gambier,92,AU,91,-37.83,51.18,8.52
70,Semnan,8,IR,44,35.58,70.71,3.27
71,Kapaa,40,US,66,22.08,85.21,20.8
72,Tuy Hoa,92,VN,100,13.08,76.83,18.81
73,Seydi,76,NE,84,13.34,74.49,6.4
74,Westport,20,IE,100,53.8,51.31,8.63
75,Noumea,0,NC,44,-22.28,77.0,14.99
77,Foix,90,FR,88,42.97,77.0,12.75
78,Arman,40,RU,72,59.7,66.2,5.17
79,Palana,88,RU,98,59.08,55.23,2.93
80,Khem Karan,40,IN,83,31.14,79.9,5.82
81,Yulara,0,AU,18,-25.24,64.4,9.17
82,Vanimo,24,PG,100,-2.67,82.99,12.44
83,San Patricio,0,PY,74,-26.98,52.62,5.73
84,Madison,20,US,65,43.07,75.2,7.74
87,Hohhot,0,CN,69,40.81,73.4,4.47
88,Seddon,0,NZ,99,-41.67,52.75,2.93
89,Carnarvon,0,ZA,51,-30.97,31.78,15.12
90,Port Elizabeth,20,US,83,39.31,83.08,8.19
91,Fortuna,20,ES,88,38.18,78.8,4.7
92,Naze,75,NG,94,5.43,75.2,4.72
94,Flagstaff,1,US,27,35.2,69.53,12.75
95,Richards Bay,32,ZA,99,-28.77,52.17,4.05
96,Kirs,32,RU,74,59.34,51.81,10.09
97,Honiara,75,SB,66,-9.43,84.2,3.36
98,Shenjiamen,0,CN,92,29.96,83.67,5.5
99,Tual,32,ID,96,-5.67,80.11,13.78
100,Biak,88,ID,97,-0.91,76.96,4.94
101,Constitucion,90,MX,44,23.99,75.2,8.05
102,Albany,90,US,88,42.65,74.1,6.93
103,Olden,68,NO,95,61.84,49.06,1.59
104,Padang,88,ID,100,-0.92,78.85,5.61
105,Port Lincoln,0,AU,91,-34.72,56.31,20.04
106,Hirado,75,JP,62,33.32,86.0,12.75
107,San Jose,92,PH,100,15.79,71.61,1.14
108,Vardo,90,US,78,39.62,77.25,25.28
109,Cangzhou,8,CN,98,38.3,81.33,5.95
110,Sorland,64,NO,97,67.67,59.59,5.84
111,Conde,68,BR,90,-11.81,74.26,7.74
113,Provideniya,90,RU,71,64.42,50.0,8.95
114,Santa Maria,0,BR,76,-29.69,55.4,10.29
115,Kenai,90,US,48,60.55,62.6,8.05
116,Tupik,32,RU,85,54.43,59.73,3.38
117,Yellowknife,75,CA,72,62.45,66.2,8.05
118,Narsaq,88,GL,76,60.91,48.2,5.82
119,Gamovo,0,RU,87,57.87,53.6,6.71
121,Khatanga,36,RU,86,71.98,54.78,8.52
122,Maitum,8,PH,100,6.06,82.36,11.99
123,Faya,5,SA,72,18.39,67.06,4.38
125,Sinnamary,0,GF,95,5.38,81.42,13.11
126,Chifeng,0,CN,79,42.27,72.78,3.83
127,Shelburne,40,CA,83,44.08,72.23,4.7
128,Portland,90,US,30,45.52,91.9,6.93
129,Madinat Sittah Uktubar,0,EG,78,29.82,78.8,6.93
130,Bambous Virieux,40,MU,82,-20.34,66.2,2.24
131,Arroio dos Ratos,90,BR,100,-30.09,59.0,10.29
132,Kavaratti,92,IN,96,10.57,82.41,22.5
133,Bismarck,1,US,29,46.81,86.85,9.17
134,Cururupu,24,BR,82,-1.82,78.54,6.96
136,Kodiak,1,US,48,39.95,87.8,3.36
137,Rosarito,75,CO,54,4.91,76.08,3.36
138,Aswan,0,EG,29,24.09,87.8,11.41
139,Itoman,20,JP,74,26.12,87.8,9.17
140,Kimbe,32,PG,100,-5.56,76.78,4.05
141,Atherton,88,GB,81,53.52,53.49,1.12
142,Srandakan,36,ID,90,-7.94,71.97,3.27
143,Saskylakh,88,RU,75,71.97,59.64,9.64
144,Xai-Xai,48,MZ,95,-25.04,68.73,13.22
145,Kirakira,92,SB,100,-10.46,76.11,11.43
146,Tiarei,40,PF,74,-17.53,80.6,14.99
147,Baruun-Urt,20,MN,89,46.68,63.28,7.85
148,Mahajanga,20,MG,94,-15.72,68.0,2.24
149,Codrington,0,AU,69,-28.95,58.11,3.6
150,Tuktoyaktuk,90,CA,86,69.44,41.0,10.29
151,Touros,56,BR,87,-5.2,76.15,12.55
152,Kyaikkami,92,MM,100,16.08,73.0,2.15
153,Hirara,40,JP,79,24.8,86.05,9.17
154,Talcahuano,44,CL,81,-36.72,50.0,6.93
155,Weinan,0,CN,74,34.5,84.2,4.47
157,Comodoro Rivadavia,0,AR,85,-45.87,46.4,8.05
158,Traverse City,1,US,68,44.76,73.44,11.43
160,Nelson Bay,20,AU,39,-32.72,64.4,8.05
161,Shingu,20,JP,70,33.72,84.2,13.87
162,Prince George,1,CA,34,53.92,82.4,6.93
163,Lashio,100,MM,100,22.93,68.64,2.59
164,Georgetown,75,GY,94,6.8,78.8,2.24
165,Ancud,88,CL,80,-41.87,45.64,3.94
166,Nemuro,75,JP,100,43.32,59.0,10.29
167,Avarua,75,CK,69,-21.21,75.2,13.87
168,Sorong,92,ID,100,-0.86,78.4,5.39
169,Te Anau,68,NZ,86,-45.41,45.87,7.29
170,Bethel,90,US,62,60.79,57.2,10.29
171,Udachnyy,0,RU,80,66.42,55.0,3.38
172,Aklavik,90,CA,70,68.22,44.6,12.75
173,Tuatapere,48,NZ,94,-46.13,51.81,10.42
174,Broome,76,GB,67,52.47,62.6,2.24
175,Paamiut,0,GL,96,61.99,42.18,13.67
176,Fairbanks,90,US,58,64.84,59.02,4.7
177,Luderitz,0,NA,90,-26.65,52.98,20.49
178,Tiksi,0,RU,81,71.64,55.59,3.83
179,Acapulco,75,MX,74,16.86,84.2,8.05
180,Ko Samui,40,TH,78,9.54,80.6,9.17
181,Padre Paraiso,100,BR,82,-17.07,70.93,8.41
182,Homer,90,US,67,59.64,60.73,6.93
183,Dikson,12,RU,77,73.51,50.73,19.37
184,Hambantota,76,LK,100,6.12,77.86,15.12
185,Sioux Lookout,75,CA,53,50.1,76.23,4.7
186,Kieta,0,PG,95,-6.22,80.88,3.38
187,Okha,92,RU,80,53.59,60.49,9.19
188,Irituia,36,BR,97,-1.77,73.36,3.6
189,Longyearbyen,75,NO,87,78.22,42.8,13.87
191,Masoko,0,TZ,83,-9.33,52.75,2.59
192,Vostok,12,RU,75,46.45,69.27,2.71
193,Thompson,75,CA,64,55.74,71.6,6.51
194,Zhezkazgan,0,KZ,80,47.8,65.04,2.82
195,Santo Domingo,40,DO,78,18.48,82.4,6.93
196,Orlik,44,RU,82,52.51,46.32,1.81
197,Mizdah,0,LY,49,31.45,78.18,8.08
198,La Ronge,40,CA,44,55.1,78.8,8.05
199,Nouadhibou,75,MR,88,20.93,69.8,5.82
200,Nizwa,48,OM,40,22.93,79.39,1.7
201,Mattru,92,SL,100,7.62,71.56,3.38
202,Mehamn,0,NO,95,71.03,42.49,2.48
203,Nogales,75,US,45,31.34,82.4,8.05
204,Camacha,40,PT,68,33.08,71.6,10.29
206,Lavrentiya,80,RU,100,65.58,44.29,9.19
207,Hofn,68,IS,96,64.25,48.61,12.77
208,Bredasdorp,20,ZA,100,-34.53,35.6,1.12
210,Saint-Philippe,90,CA,94,45.36,71.64,2.24
212,Tezu,0,IN,93,27.93,68.86,1.7
213,Falkenberg,1,DE,82,49.86,62.6,2.59
215,Zhigansk,32,RU,56,66.77,67.33,2.37
216,Vozrozhdeniye,0,RU,93,60.86,55.4,2.24
217,Kununurra,0,AU,10,-15.77,78.8,12.75
218,Cap Malheureux,40,MU,82,-19.98,66.2,2.24
219,Popondetta,0,PG,76,-8.77,74.67,1.59
220,Mar del Plata,8,AR,67,-46.43,45.69,14.12
221,Non Sang,75,TH,94,16.87,76.93,5.61
222,Santa Vitoria do Palmar,88,BR,95,-33.52,53.56,11.54
223,Juneau,90,US,77,58.3,59.79,16.11
224,Varca,92,IN,100,15.22,73.86,8.75
225,Hanzhong,36,CN,88,33.08,72.06,3.38
226,Kastamonu,0,TR,91,41.38,50.95,2.15
227,Port Moresby,20,PG,66,-9.47,86.0,17.22
228,Namatanai,32,PG,100,-3.66,82.18,10.31
229,Coihaique,0,CL,80,-45.58,38.89,1.7
230,Kurumkan,0,RU,63,54.33,51.09,2.48
231,Port Arthur,1,US,78,29.9,83.34,6.93
232,Hobyo,0,SO,84,5.35,75.88,18.81
233,Tilichiki,20,RU,79,60.47,60.85,3.27
234,Shellbrook,5,CA,53,53.22,77.0,8.05
235,Alenquer,0,BR,94,-1.95,77.0,7.29
239,Filingue,68,NE,80,14.35,76.29,9.75
240,Lebu,56,ET,88,8.96,49.24,2.04
241,Sao Filipe,92,CV,100,14.9,77.19,2.71
242,Brae,64,GB,76,60.4,53.6,13.87
244,Dromolaxia,0,CY,28,34.88,80.89,9.17
245,Haines Junction,88,CA,82,60.75,50.73,2.82
246,Nioki,32,CD,84,-2.72,75.43,3.38
247,Lorengau,44,PG,99,-2.02,83.22,7.4
248,Khilok,0,RU,89,51.36,58.83,3.6
249,Palmer,20,AU,51,-34.85,60.8,20.8
250,Rome,0,IT,94,41.89,72.82,4.7
251,Cabo San Lucas,90,MX,83,22.89,78.8,14.99
252,Ilulissat,75,GL,81,69.22,42.8,4.7
253,Kavieng,20,PG,100,-2.57,81.64,3.94
254,Zhangye,0,CN,66,38.94,62.74,7.52
255,Santa Maria do Suacui,80,BR,96,-18.19,65.58,3.38
256,Simbahan,12,PH,97,6.3,84.25,15.68
257,Bayonet Point,40,US,78,28.33,83.3,6.85
258,Parvatipuram,88,IN,93,18.78,74.71,3.71
260,Waipawa,24,NZ,79,-39.94,54.24,14.34
261,Saint-Augustin,56,FR,88,44.83,65.21,9.17
262,Torbay,90,CA,93,47.66,66.2,16.11
263,Katsuura,75,JP,74,33.93,78.8,8.05
264,Babusnica,0,RS,88,43.07,68.0,1.12
265,Mindelo,75,PT,88,41.31,62.6,11.41
266,Mahebourg,40,MU,82,-20.41,66.2,2.24
268,Vila do Maio,75,CV,78,15.13,77.0,6.93
269,Vidim,0,CZ,83,50.47,70.72,2.24
270,Basoko,20,CD,91,1.23,74.13,6.17
271,Lagoa,0,PT,73,37.14,69.8,13.87
272,Khani,75,GE,94,41.96,69.8,4.7
274,Linjiang,88,CN,100,41.81,69.94,3.15
275,Tangwani,8,PK,72,28.28,86.41,11.77
276,Leh,92,IN,98,34.16,36.64,1.03
277,Peniche,75,PT,100,39.36,64.42,14.99
278,Kalamazoo,1,US,73,42.29,74.44,3.36
279,Camacari,40,BR,74,-12.7,78.8,6.93
281,Enkhuizen,0,NL,87,52.7,59.0,9.17
282,Chase,1,US,64,43.89,72.5,6.06
283,Zeya,76,RU,96,53.74,59.68,3.04
284,Lasa,0,CY,88,34.92,78.58,6.93
285,Kailua,90,US,69,21.39,85.12,14.99
286,Narasannapeta,48,IN,100,18.42,73.54,3.27
287,Emerald,0,AU,39,-23.53,61.84,5.5
289,Coquimbo,0,CL,66,-29.95,55.4,8.05
290,Iqaluit,90,CA,76,63.75,48.2,5.82
291,Yingcheng,0,CN,70,30.93,89.6,8.95
292,Santa Quiteria,64,ES,76,37.67,67.78,2.71
293,Santa Rosa de Osos,75,CO,77,6.65,64.4,4.7
294,Marondera,0,ZW,84,-18.19,53.79,4.16
295,Dicabisagan,76,PH,100,17.08,76.38,8.41
296,Tasiilaq,12,GL,93,65.61,37.4,10.29
297,Miraflores,76,CO,93,5.2,51.04,1.36
298,Sobolevo,68,RU,80,54.43,61.53,3.27
299,Victoria,75,BN,78,5.28,82.4,4.7
300,Darapidap,92,PH,95,17.21,74.58,4.61
301,Kindu,32,CD,100,-2.95,67.74,1.92
302,Ketchikan,90,US,77,55.34,63.68,11.41
303,General Pico,0,AR,59,-35.66,45.96,9.75
304,Vredendal,0,ZA,71,-31.68,33.81,5.95
305,Taoudenni,36,ML,35,22.68,85.15,2.93
306,Pec,0,DE,77,49.4,66.2,1.12
307,Monterey,20,US,82,36.6,66.83,5.82
309,Hasaki,75,JP,88,35.73,77.0,17.22
310,Agirish,24,RU,81,61.92,50.05,5.17
311,Faanui,80,PF,98,-16.48,80.52,14
312,Sao Joao da Barra,92,BR,99,-21.64,73.36,13.67
313,Karratha,0,AU,41,-20.74,51.85,6.73
314,Elko,75,US,8,40.83,98.6,4.7
315,Bani,92,PH,100,15.89,73.86,7.96
316,Roswell,1,US,25,33.39,85.82,23.04
317,Marawi,12,PH,79,8,76.24,3.38
318,Teya,90,MX,94,21.05,75.2,2.24
319,Yangambi,48,CD,87,0.77,73.54,4.38
320,Sturgis,1,US,39,44.41,83.62,5.82
321,Lubumbashi,0,CD,41,-11.66,57.25,7.74
322,Biharamulo,0,TZ,84,-2.64,56.71,2.82
323,Hualmay,12,PE,92,-11.1,58.6,3.71
324,Dingle,92,PH,97,11,77.5,8.97
325,Auki,44,NG,89,12.18,72.96,6.17
326,Dudinka,64,RU,73,69.41,55.32,18.03
327,Yarmouth,92,GB,87,50.71,58.41,2.24
328,Ust-Kuyga,0,RU,64,70,58.74,4.61
329,Laguna,75,MX,55,27.52,89.6,13.87
330,Chicama,90,PE,88,-7.84,62.6,5.82
331,Abha,5,SA,68,18.22,67.14,2.15
332,Mazamari,64,PE,86,-11.33,68.37,1.7
333,Matagami,92,NG,98,9.67,65.89,1.7
334,Juegang,0,CN,95,32.31,83.8,2.15
335,Saint-Francois,0,FR,83,46.42,69.8,4.7
336,Luanda,75,AO,88,-8.83,69.8,3.15
337,Marzuq,100,YE,36,14.4,77.59,3.15
338,Dwarka,75,IN,88,28.58,82.4,4.7
339,Grand-Santi,56,GF,81,4.27,78.09,2.71
340,Cotonou,40,BJ,88,6.37,77.0,12.75
341,Lewistown,1,US,88,40.39,74.37,5.73
342,Cam Ranh,56,VN,99,11.92,78.04,3.6
343,Visnes,0,NO,87,59.36,54.63,6.93
346,Belaya Gora,0,RU,60,68.54,54.28,10.09
347,Novoagansk,0,RU,93,61.94,59.59,5.61
348,Namibe,92,AO,99,-15.19,65.71,6.4
349,Christiana,68,ZA,43,-27.91,47.44,3.94
350,Raudeberg,80,NO,87,61.99,57.2,11.41
351,Karasjok,80,NO,93,69.47,41.0,2.24
352,High Level,20,CA,28,58.52,84.2,11.41
353,Mercedes,92,UY,91,-33.25,53.16,20.71
354,Tarakan,44,ID,100,3.3,76.11,4.38
355,Gorontalo,44,ID,74,0.54,80.11,3.94
356,Toccoa,1,US,100,34.58,69.78,4.7
357,Miri,88,NG,98,10.31,67.02,2.59
358,San Quintin,20,PH,79,17.54,84.2,2.24
359,Hattiesburg,1,US,62,31.33,82.98,4.7
361,Lahaina,90,US,88,20.87,79.27,19.46
362,Inhambane,92,MZ,90,-23.87,70.71,13.78
363,Amahai,88,ID,100,-3.31,79.3,9.64
364,Saint Anthony,1,US,13,43.97,87.17,4.7
365,Dunedin,12,NZ,96,-45.87,43.98,4.05
366,Lingen,88,GB,87,52.3,50.0,6.93
367,Inta,0,RU,93,66.04,46.54,5.06
368,Cascais,75,PT,82,38.7,67.12,16.11
369,Mbigou,76,GA,97,-1.9,67.33,2.15
370,Klisura,108,BG,94,42.69,69.8,1.12
371,Ambanja,64,MG,95,-13.68,59.46,2.37
372,Russell,0,AR,60,-33.01,42.8,3.36
373,Jackson,1,US,88,35.61,78.8,4.27
374,The Valley,20,AI,74,18.22,82.4,11.41
376,Necochea,24,AR,96,-38.55,44.07,18.48
377,Cidreira,92,BR,95,-30.17,62.38,4.83
378,Sulangan,24,PH,99,11.14,82.99,16.69
379,Alexandria,1,US,78,31.31,80.15,4.7
380,Basco,1,US,65,40.33,76.32,3.94
381,Salihorsk,8,BY,80,52.79,64.45,3.71
382,Nome,1,US,74,30.04,80.96,5.82
383,Magangue,36,CO,84,9.24,81.64,1.92
384,Half Moon Bay,90,US,93,37.46,74.32,12.75
385,Isangel,0,VU,100,-19.55,72.64,12.21
386,Mandleshwar,75,IN,100,22.18,71.6,9.17
389,Mandalgovi,0,MN,82,45.76,62.61,5.95
390,Sola,0,NO,93,58.89,54.37,4.7
391,Jijiga,80,ET,92,9.35,58.56,3.15
393,Rantepao,68,ID,89,-2.97,69.54,1.48
394,Klaksvik,80,FO,100,62.23,50.0,9.17
395,Sokol,80,RU,85,59.46,52.93,6.17
396,Daru,92,SL,99,7.99,70.39,5.61
397,Verona,0,IT,73,45.44,73.4,3.36
398,Goba,68,ET,88,7.01,51.58,4.16
399,Gilgit,56,PK,45,35.92,49.74,0.58
400,Katobu,24,ID,99,-4.94,79.3,4.72
401,Alegrete,36,BR,76,-29.79,51.13,18.81
402,Tucurui,20,BR,84,-3.77,76.1,4.16
403,Bansi,32,IN,96,27.18,83.93,9.98
404,Nikolskoye,0,RU,76,59.7,57.2,4.47
405,Havoysund,0,NO,87,71,46.4,9.17
406,Muriti,0,TZ,100,-1.99,73.35,9.19
407,Batsfjord,24,NO,100,70.63,50.67,2.71
408,Saint George,0,GR,64,39.45,71.6,4.7
409,Te Horo,0,NZ,77,-40.81,59.0,11.41
411,Cherskiy,0,RU,61,68.75,52.93,4.94
412,Para de Minas,0,BR,73,-19.86,69.8,8.05
413,Miandrivazo,0,MG,77,-19.53,52.43,2.48
414,San Rafael,0,AR,47,-34.61,36.46,5.95
415,Saldanha,0,PT,74,41.42,55.67,5.17
416,Xam Nua,32,LA,91,20.42,73.58,2.48
417,Nicoya,20,CR,66,10.15,84.2,20.8
418,Takoradi,68,GH,100,4.89,75.65,9.98
420,Vila Franca do Campo,20,PT,82,37.72,68.0,5.82
422,Ardabil,24,IR,92,38.25,56.89,1.48
423,Umm Lajj,0,SA,100,25.02,77.76,3.71
424,Toora-Khem,92,RU,81,52.47,60.57,2.82
425,Mitu,0,IR,70,36.2,56.16,1.81
426,Pevek,0,RU,100,69.7,41.72,7.85
428,West Wendover,1,US,8,40.74,96.8,6.93
429,Marsh Harbour,0,BS,100,26.54,82.98,6.85
430,Maraa,56,BR,95,-1.83,75.25,4.72
431,Christchurch,0,NZ,48,-43.53,62.6,1.12
432,Kigoma,0,TZ,82,-4.88,62.6,2.37
433,Jinka,8,ET,86,5.79,54.27,1.59
434,Vrangel,56,RU,93,42.73,69.53,14.23
435,San Rafael del Sur,40,NI,88,11.85,78.8,6.93
436,Farah,0,AF,27,32.37,82.22,2.71
437,Ribeira Grande,24,PT,100,38.52,74.3,6.62
438,Abu Kamal,0,SY,41,34.45,80.01,13.89
439,Vestmanna,80,FO,100,62.16,50.0,13.87
440,Beringovskiy,68,RU,89,63.05,53.82,11.1
443,Mongoumba,68,CD,100,3.64,71.73,2.15
444,Myanaung,44,MM,95,18.28,82.62,6.96
445,Shubarshi,48,KZ,48,48.59,76.55,7.96
446,Aykhal,0,RU,62,65.95,59.18,5.5
447,Ler,75,NO,87,63.2,58.89,9.17
448,George,20,NG,94,6.63,75.2,2.24
450,Santa Rosa,0,AR,82,-36.62,36.72,6.17
451,Guerrero Negro,24,MX,58,27.97,84.2,8.3
452,Mahasamund,92,IN,97,21.11,74.8,15.01
453,Taltal,0,CL,80,-25.41,52.43,3.38
455,Rock Sound,0,BS,100,24.9,83.75,11.77
456,Wageningen,8,NL,93,51.98,54.37,2.24
457,Olkhovka,0,RU,82,53.21,67.86,10.65
459,Viedma,12,AR,88,-40.81,36.0,7.4
460,Verkhoyansk,0,RU,56,67.55,67.86,3.6
461,Mahibadhoo,80,MV,97,3.78,83.97,14.34
